m,Date,Y,y
1,12/17/1905,9,1.2857143
2,12/24/1905,12,1.7142857
3,12/31/1905,14,2
4,1/7/1906,18,2.5714285
5,1/14/1906,28,4
6,1/21/1906,49,7
7,1/28/1906,50,7.1428571
8,2/4/1906,93,13.285714
9,2/11/1906,122,17.428572
10,2/18/1906,177,25.285715
11,2/25/1906,288,41.142857
12,3/4/1906,387,55.285713
13,3/11/1906,442,63.142857
14,3/18/1906,642,91.714287
15,3/25/1906,777,111
16,4/1/1906,701,100.14286
17,4/8/1906,694,99.14286
18,4/15/1906,867,123.85714
19,4/22/1906,924,132
20,4/29/1906,801,114.42857
21,5/6/1906,578,82.571426
22,5/13/1906,402,57.42857
23,5/20/1906,346,49.42857
24,5/27/1906,207,29.571428
25,6/3/1906,108,15.428572
26,6/10/1906,62,8.8571424
27,6/17/1906,47,6.7142859
28,6/24/1906,34,4.8571429
29,7/1/1906,34,4.8571429
30,7/8/1906,27,3.8571429
31,7/15/1906,31,4.4285712
